Unix Timestamp,Position,Value [kg]
1736439713.05714,Left,33.88335
1736439713.05714,Right,25.36829
1736439713.1636317,Left,34.07453
1736439713.1636317,Right,26.14268
1736439713.2672644,Left,33.79
1736439713.2707744,Right,26.8642
1736439713.3719578,Left,33.19054
1736439713.3719578,Right,26.71268
1736439713.4769254,Left,32.56587
1736439713.4769254,Right,26.60308
1736439713.5831575,Left,32.58254
1736439713.5831575,Right,26.72552
1736439713.6880925,Left,32.65245
1736439713.6891015,Right,27.34884
1736439713.7907393,Left,32.55429
1736439713.7907393,Right,28.06682
1736439713.8953636,Left,31.91857
1736439713.8953636,Right,28.27553
1736439713.8953636,Left,30.61223
1736439713.9033697,Right,29.2587
1736439714.004536,Left,29.22744
1736439714.004536,Right,29.68733
1736439714.1100097,Left,29.31578
1736439714.1100097,Right,28.25398
1736439714.2146995,Left,30.8853
1736439714.2172127,Right,26.53692
1736439714.3197923,Left,32.35249
1736439714.3197923,Right,26.09243
1736439714.4245837,Left,32.64028
1736439714.4245837,Right,26.99057
1736439714.530689,Left,32.22588
1736439714.530689,Right,27.10966
1736439714.634492,Left,32.12147
1736439714.6374998,Right,26.75329
1736439714.7415535,Left,30.28369
1736439714.7450662,Right,26.01271
1736439714.8466585,Left,30.40164
1736439714.8466585,Right,26.0361
1736439714.9511495,Left,29.8469
1736439714.9511495,Right,27.48791
1736439715.0579183,Left,29.71976
1736439715.0581772,Right,28.80242
1736439715.1613605,Left,30.22256
1736439715.1613605,Right,30.09564
1736439715.2661102,Left,29.13013
1736439715.2661102,Right,30.12362
1736439715.3721743,Left,27.97058
1736439715.3721743,Right,29.75251
1736439715.4767776,Left,28.53099
1736439715.4797988,Right,28.87508
1736439715.581244,Left,30.38048
1736439715.581244,Right,28.20721
1736439715.6855984,Left,31.92254
1736439715.6855984,Right,27.71038
1736439715.7905486,Left,32.39122
1736439715.793716,Right,27.91687
1736439715.8961248,Left,32.3314
1736439715.8961248,Right,28.89257
1736439716.000649,Left,31.49147
1736439716.000649,Right,29.63708
1736439716.107534,Left,30.55481
1736439716.107534,Right,29.54641
1736439716.2117872,Left,30.3247
1736439716.215902,Right,29.54268
1736439716.3247266,Left,30.33082
1736439716.3247266,Right,29.66538
1736439716.4295573,Left,29.95847
1736439716.4295573,Right,29.19935
1736439716.5347602,Left,30.92898
1736439716.536787,Right,30.07933
1736439716.6407614,Left,31.75205
1736439716.6437774,Right,30.72545
1736439716.7469406,Left,30.96778
1736439716.750453,Right,31.45267
1736439716.8518543,Left,30.68696
1736439716.8518543,Right,32.04245
1736439716.9564898,Left,30.97344
1736439716.9564898,Right,31.85693
1736439717.0631104,Left,30.18565
1736439717.063711,Right,31.32375
1736439717.166809,Left,30.3191
1736439717.1698363,Right,31.84428
1736439717.2713864,Left,30.02285
1736439717.2713864,Right,33.47186
1736439717.3761878,Left,28.86297
1736439717.3761878,Right,33.80655
1736439717.481059,Left,28.15571
1736439717.48351,Right,32.82522
1736439717.48351,Left,28.10533
1736439717.48351,Right,32.81323
1736439717.5922253,Left,28.18513
1736439717.5922253,Right,32.4431
1736439717.6971638,Left,29.04986
1736439717.6971638,Right,31.5698
1736439717.8009977,Left,30.49642
1736439717.8009977,Right,30.17275
1736439717.9057527,Left,31.01959
1736439717.9057527,Right,29.09217
1736439718.0127213,Left,30.32958
1736439718.0133913,Right,29.13665
1736439718.1183214,Left,29.82027
1736439718.1183214,Right,29.5791
1736439718.224345,Left,30.23825
1736439718.224345,Right,29.21847
1736439718.3280609,Left,31.00638
1736439718.3313236,Right,28.29499
1736439718.4332485,Left,31.74574
1736439718.4332485,Right,27.77996
1736439718.537999,Left,32.16912
1736439718.537999,Right,27.82502
1736439718.6434155,Left,31.7693
1736439718.6434155,Right,27.63688
1736439718.7480056,Left,30.42429
1736439718.7515159,Right,29.07252
1736439718.852913,Left,29.14542
1736439718.852913,Right,29.11464
1736439718.957506,Left,28.89565
1736439718.957506,Right,28.00157
1736439719.062513,Left,31.05663
1736439719.0648122,Right,26.58618
1736439719.1669836,Left,31.77399
1736439719.1669836,Right,26.02024
1736439719.2718697,Left,31.59478
1736439719.2718697,Right,26.92263
1736439719.3769379,Left,31.20967
1736439719.378446,Right,27.58696
1736439719.4816027,Left,30.89715
1736439719.4851294,Right,27.04808
1736439719.5866127,Left,31.33114
1736439719.5866127,Right,26.58736
1736439719.6915987,Left,32.79449
1736439719.6915987,Right,26.99168
1736439719.7959998,Left,32.62752
1736439719.7990282,Right,26.87442
1736439719.9010003,Left,32.20512
1736439719.9010003,Right,26.51163
1736439720.0063608,Left,32.50332
1736439720.0063608,Right,27.05968
1736439720.1118639,Left,32.63468
1736439720.1118639,Right,27.21363
1736439720.2158065,Left,32.37951
1736439720.2188196,Right,27.32165
1736439720.3204877,Left,32.25283
1736439720.3204877,Right,27.47095
1736439720.4255621,Left,32.23389
1736439720.4255621,Right,27.37622
1736439720.5321913,Left,32.56041
1736439720.5321913,Right,26.93298
1736439720.6358569,Left,33.00599
1736439720.6358569,Right,26.61526
1736439720.7405517,Left,33.02265
1736439720.7405517,Right,26.74163
1736439720.8466554,Left,32.51295
1736439720.8466554,Right,27.12126
1736439720.950434,Left,32.23031
1736439720.9534447,Right,27.3531
1736439721.0559437,Left,32.29892
1736439721.0559437,Right,27.34727
1736439721.159526,Left,32.56236
1736439721.159526,Right,27.10927
1736439721.264287,Left,32.76559
1736439721.2662995,Right,26.87422
1736439721.3700502,Left,32.61619
1736439721.373078,Right,27.06485
1736439721.4747968,Left,32.34579
1736439721.4747968,Right,27.42719
1736439721.5797067,Left,31.96166
1736439721.5797067,Right,27.73842
1736439721.6860392,Left,31.69906
1736439721.6860392,Right,27.83557
1736439721.6860392,Left,31.66938
1736439721.6935472,Right,27.9377
1736439721.7979255,Left,31.76136
1736439721.8017428,Right,27.9795
1736439721.9030416,Left,31.85627
1736439721.9030416,Right,27.85464
1736439722.007686,Left,32.02116
1736439722.007686,Right,27.68726
1736439722.114211,Left,32.67543
1736439722.114211,Right,27.26296
1736439722.2177193,Left,33.27939
1736439722.2177193,Right,26.59096
1736439722.322697,Left,33.31955
1736439722.322697,Right,26.25699
1736439722.4281206,Left,33.07909
1736439722.4281206,Right,26.78402
1736439722.5323699,Left,32.76253
1736439722.5353823,Right,27.14779
1736439722.6371043,Left,32.31806
1736439722.6371043,Right,27.61887
1736439722.7431598,Left,31.60383
1736439722.7452655,Right,28.36947
1736439722.8467982,Left,31.0054
1736439722.8483057,Right,28.81441
1736439722.952069,Left,30.66066
1736439722.9555805,Right,28.96443
1736439723.0572307,Left,30.86877
1736439723.0572307,Right,28.60577
1736439723.1624515,Left,31.91811
1736439723.1624515,Right,27.40557
1736439723.2672615,Left,32.45092
1736439723.2692728,Right,26.69309
1736439723.3723066,Left,31.96166
1736439723.3759894,Right,26.69591
1736439723.4775834,Left,31.07636
1736439723.4775834,Right,26.51301
1736439723.5821736,Left,30.76344
1736439723.5821736,Right,26.77111
1736439723.6879396,Left,29.60975
1736439723.6879396,Right,28.62267
1736439723.7932599,Left,28.21019
1736439723.7955742,Right,29.88084
1736439723.898628,Left,26.98392
1736439723.898628,Right,31.69957
1736439724.0040777,Left,25.67992
1736439724.0040777,Right,33.05319
1736439724.1090415,Left,24.2719
1736439724.1090415,Right,33.82077
1736439724.2157407,Left,24.29052
1736439724.2157407,Right,34.12787
1736439724.319263,Left,25.47637
1736439724.319263,Right,33.30023
1736439724.4239068,Left,27.33863
1736439724.4239068,Right,31.97491
1736439724.5286844,Left,28.95912
1736439724.5286844,Right,30.70082
1736439724.634441,Left,29.51432
1736439724.634441,Right,29.79083
1736439724.737618,Left,29.97943
1736439724.741145,Right,29.86073
1736439724.8431737,Left,29.96244
1736439724.8431737,Right,30.41612
1736439724.9480608,Left,29.56737
1736439724.9480608,Right,30.95441
1736439725.0526721,Left,29.15233
1736439725.0557003,Right,31.12106
1736439725.157683,Left,28.70499
