Unix Timestamp,Position,Value [kg]
1736440342.8116083,Left,0.00091
1736440342.8116083,Right,-0.00668
1736440342.914023,Left,0.00033
1736440342.914023,Right,-0.00144
1736440343.0159614,Left,0.00085
1736440343.0159614,Right,-0.00092
1736440343.118629,Left,-0.00078
1736440343.118629,Right,-0.00321
1736440343.2205834,Left,0.0013
1736440343.2205834,Right,-0.00282
1736440343.3223865,Left,0.00182
1736440343.3238914,Right,-0.0021
1736440343.4250674,Left,0.00208
1736440343.4250674,Right,-0.00511
1736440343.5283933,Left,0.00176
1736440343.5283933,Right,-0.00373
1736440343.6310792,Left,0.00163
1736440343.6310792,Right,-0.00098
1736440343.7334726,Left,0.0015
1736440343.7334726,Right,-0.0017
1736440343.836,Left,0.00033
1736440343.836,Right,-0.00478
1736440343.9391587,Left,0.00117
1736440343.9391587,Right,-0.00341
1736440344.0416515,Left,0.00176
1736440344.0416515,Right,0.00164
1736440344.1439106,Left,0.00059
1736440344.1451452,Right,0.00026
1736440344.2464926,Left,0.00026
1736440344.2464926,Right,-0.00236
1736440344.3495307,Left,-0.00267
1736440344.3505378,Right,-0.00183
1736440344.4528503,Left,0.00098
1736440344.4528503,Right,-0.00131
1736440344.5551252,Left,-0.00033
1736440344.5551252,Right,-0.00308
1736440344.6581755,Left,-0.00013
1736440344.6581755,Right,-0.00452
1736440344.7608423,Left,0.0028
1736440344.7608423,Right,-0.00393
1736440344.8631463,Left,0.00059
1736440344.8631463,Right,-0.00452
1736440344.9656816,Left,-0.00033
1736440344.9666858,Right,-0.00295
1736440345.069266,Left,0.00169
1736440345.069266,Right,-0.00059
1736440345.1724057,Left,0.00104
1736440345.1724057,Right,-0.00557
1736440345.274802,Left,0.0002
1736440345.2764878,Right,-0.00439
1736440345.3773715,Left,0.00117
1736440345.3773715,Right,-0.00439
1736440345.4799757,Left,0.00208
1736440345.481121,Right,0.05915
1736440345.5821137,Left,0.00391
1736440345.5821137,Right,0.39587
1736440345.6847389,Left,0.00221
1736440345.6847389,Right,0.32198
1736440345.7868414,Left,0.00156
1736440345.7868414,Right,0.11877
1736440345.8890886,Left,0.00241
1736440345.8890886,Right,1.37779
1736440345.9927168,Left,0.00241
1736440345.9937239,Right,8.52106
1736440346.099531,Left,0.00143
1736440346.1008115,Right,12.07252
1736440346.2027917,Left,-0.00046
1736440346.2027917,Right,16.90364
1736440346.3055203,Left,-0.00091
1736440346.3055203,Right,21.50711
1736440346.4078887,Left,0.00234
1736440346.4078887,Right,22.63066
1736440346.510424,Left,0.00319
1736440346.510424,Right,21.66885
1736440346.6123538,Left,-0.00085
1736440346.6123538,Right,21.14072
1736440346.7152355,Left,-0.00013
1736440346.7152355,Right,21.74202
1736440346.817884,Left,-0.00013
1736440346.8193872,Right,22.08798
1736440346.921412,Left,0.00163
1736440346.921412,Right,21.72119
1736440347.023922,Left,0.02181
1736440347.023922,Right,22.06518
1736440347.1265552,Left,0.70128
1736440347.1284473,Right,22.6642
1736440347.229276,Left,3.51107
1736440347.229276,Right,23.02339
1736440347.332287,Left,7.09042
1736440347.332287,Right,22.41638
1736440347.4348922,Left,11.9627
1736440347.4348922,Right,24.27848
1736440347.5368671,Left,17.40665
1736440347.5368671,Right,27.37157
1736440347.638731,Left,22.97963
1736440347.638731,Right,29.18421
1736440347.7419298,Left,27.00898
1736440347.7419298,Right,29.2906
1736440347.844346,Left,29.10454
1736440347.8459563,Right,28.50416
1736440347.9463565,Left,31.07213
1736440347.9463565,Right,28.13993
1736440348.0495143,Left,32.28375
1736440348.050518,Right,27.11956
1736440348.1518967,Left,32.57785
1736440348.1518967,Right,24.90423
1736440348.2540383,Left,34.20323
1736440348.2540383,Right,22.47691
1736440348.3562322,Left,35.80035
1736440348.3562322,Right,21.36803
1736440348.4588783,Left,34.38204
1736440348.4588783,Right,26.21173
1736440348.5611618,Left,32.15193
1736440348.5611618,Right,28.69748
1736440348.6632652,Left,30.82444
1736440348.6632652,Right,29.40446
1736440348.7658808,Left,31.0979
1736440348.7658808,Right,28.88313
1736440348.8684626,Left,32.00195
1736440348.8684626,Right,28.00832
1736440348.970426,Left,32.13839
1736440348.970426,Right,27.6395
1736440349.0728197,Left,31.80823
1736440349.0728197,Right,27.96554
1736440349.1757703,Left,32.22914
1736440349.177776,Right,27.69532
1736440349.2788067,Left,33.11352
1736440349.2788067,Right,26.89106
1736440349.3812056,Left,35.06503
1736440349.3827116,Right,25.71169
1736440349.4863524,Left,37.83635
1736440349.4863524,Right,23.26053
1736440349.5889244,Left,40.11522
1736440349.5889244,Right,18.90521
1736440349.6914995,Left,41.76657
1736440349.6942139,Right,17.16921
1736440349.7957196,Left,43.57408
1736440349.7998738,Right,15.50986
1736440349.9019804,Left,45.01855
1736440349.9019804,Right,14.2169
1736440350.0050542,Left,46.31337
1736440350.0050542,Right,12.99463
1736440350.1082838,Left,48.07571
1736440350.1102886,Right,11.33266
1736440350.2112012,Left,49.87039
1736440350.2112012,Right,9.74844
1736440350.3138232,Left,51.50488
1736440350.315329,Right,8.26367
1736440350.4162843,Left,52.99779
1736440350.4162843,Right,6.53829
1736440350.518683,Left,55.44226
1736440350.518683,Right,4.53829
1736440350.6250381,Left,57.38179
1736440350.6331322,Right,2.60675
1736440350.6357522,Left,57.66137
1736440350.6357522,Right,1.42797
1736440350.738996,Left,58.01601
1736440350.738996,Right,1.6433
1736440350.841793,Left,58.15089
1736440350.841793,Right,2.21022
1736440350.9441128,Left,56.989
1736440350.9441128,Right,2.57543
1736440351.0464833,Left,56.66951
1736440351.0464833,Right,2.98441
1736440351.1492767,Left,56.45775
1736440351.1492767,Right,3.23426
1736440351.2511842,Left,56.50807
1736440351.252186,Right,3.13574
1736440351.354407,Left,57.2846
1736440351.354407,Right,2.66905
1736440351.4568222,Left,57.94415
1736440351.4568222,Right,2.0813
1736440351.5617757,Left,58.95489
1736440351.5617757,Right,1.23452
1736440351.6646354,Left,59.66397
1736440351.6646354,Right,0.29486
1736440351.7668765,Left,59.46302
1736440351.7668765,Right,0.00655
1736440351.870201,Left,59.4433
1736440351.870201,Right,0.00118
1736440351.9730322,Left,59.35848
1736440351.9740367,Right,0.08791
1736440352.0757322,Left,59.21286
1736440352.0757322,Right,0.35938
1736440352.1782854,Left,59.40932
1736440352.1782854,Right,0.84075
1736440352.2861407,Left,58.50215
1736440352.2861407,Right,1.35375
