Unix Timestamp,Position,Value [kg]
1736440799.371552,Left,59.01002
1736440799.371552,Right,53.36489
1736440799.474273,Left,53.72237
1736440799.4756627,Right,57.9924
1736440799.5771031,Left,49.07095
1736440799.5771031,Right,60.81703
1736440799.679102,Left,47.93119
1736440799.679102,Right,60.70141
1736440799.7821062,Left,49.64503
1736440799.7821062,Right,58.31209
1736440799.8855345,Left,52.17315
1736440799.8855345,Right,55.05706
1736440799.9879076,Left,54.9847
1736440799.9897373,Right,50.66466
1736440800.090772,Left,57.23669
1736440800.090772,Right,48.98873
1736440800.1937716,Left,58.57831
1736440800.1937716,Right,47.79568
1736440800.2969258,Left,60.75843
1736440800.298431,Right,45.88529
1736440800.399986,Left,60.70069
1736440800.399986,Right,43.66924
1736440800.5034044,Left,58.53697
1736440800.5044234,Right,44.51333
1736440800.6063907,Left,61.32281
1736440800.6063907,Right,44.01625
1736440800.708787,Left,68.90151
1736440800.708787,Right,42.2133
1736440800.8115494,Left,77.12368
1736440800.8115494,Right,38.95742
1736440800.91392,Left,85.65584
1736440800.91392,Right,29.53226
1736440801.0190036,Left,90.20785
1736440801.0190036,Right,18.38677
1736440801.1213655,Left,90.58098
1736440801.1213655,Right,11.9299
1736440801.2244382,Left,88.75335
1736440801.2244382,Right,7.30737
1736440801.3272116,Left,86.63143
1736440801.3272116,Right,6.34582
1736440801.429628,Left,84.78617
1736440801.429628,Right,5.56914
1736440801.5323224,Left,83.38062
1736440801.5323224,Right,5.00911
1736440801.6347713,Left,82.62486
1736440801.6347713,Right,4.83839
1736440801.7371402,Left,82.57096
1736440801.7390714,Right,4.70206
1736440801.8396592,Left,82.84612
1736440801.8396592,Right,4.58834
1736440801.942222,Left,82.28232
1736440801.942222,Right,6.05804
1736440802.0445437,Left,80.55442
1736440802.0445437,Right,9.83249
1736440802.1471546,Left,77.21579
1736440802.1471546,Right,16.06276
1736440802.2496505,Left,71.49005
1736440802.2496505,Right,23.68641
1736440802.3525999,Left,64.79619
1736440802.3525999,Right,30.99607
1736440802.455242,Left,59.95795
1736440802.456455,Right,43.79705
1736440802.5587132,Left,57.65916
1736440802.5587132,Right,49.45457
1736440802.6618035,Left,57.06796
1736440802.6618035,Right,53.45948
1736440802.763902,Left,55.02402
1736440802.763902,Right,56.47448
1736440802.866834,Left,52.58794
1736440802.866834,Right,58.57825
1736440802.9733837,Left,50.57831
1736440802.9733837,Right,59.77923
1736440803.0758948,Left,48.815
1736440803.0758948,Right,60.44507
1736440803.1785402,Left,47.71195
1736440803.1785402,Right,60.44966
1736440803.280879,Left,48.28688
1736440803.2818987,Right,58.93921
1736440803.383453,Left,50.86441
1736440803.383453,Right,55.94995
1736440803.4857688,Left,54.87384
1736440803.4857688,Right,52.82024
1736440803.5910795,Left,60.12459
1736440803.5910795,Right,50.35591
1736440803.6938286,Left,64.7846
1736440803.6938286,Right,43.02725
1736440803.796389,Left,67.79183
1736440803.796389,Right,42.25738
1736440803.899378,Left,67.48998
1736440803.899378,Right,43.96606
1736440804.0016239,Left,63.69698
1736440804.0074122,Right,46.88097
1736440804.1124334,Left,60.30257
1736440804.1137054,Right,49.05136
1736440804.2151966,Left,59.23324
1736440804.2151966,Right,50.74995
1736440804.318447,Left,59.09654
1736440804.318447,Right,51.76351
1736440804.4220238,Left,58.71176
1736440804.423045,Right,51.67992
1736440804.5237865,Left,58.39025
1736440804.5237865,Right,51.4663
1736440804.6265726,Left,58.2124
1736440804.6265726,Right,51.46453
1736440804.7294395,Left,59.53893
1736440804.7294395,Right,51.2488
1736440804.8324826,Left,60.26247
1736440804.8324826,Right,50.16501
1736440804.9352243,Left,60.20388
1736440804.936244,Right,49.71379
1736440805.038524,Left,59.61275
1736440805.038524,Right,50.37648
1736440805.1410682,Left,59.18702
1736440805.142751,Right,50.89171
1736440805.2438323,Left,59.23793
1736440805.2438323,Right,50.80124
1736440805.3466933,Left,59.54726
1736440805.3466933,Right,50.36921
1736440805.4492457,Left,59.4597
1736440805.4492457,Right,50.40517
1736440805.5519688,Left,58.69099
1736440805.5519688,Right,51.0002
1736440805.65444,Left,57.58202
1736440805.65444,Right,51.94838
1736440805.7570722,Left,56.42572
1736440805.7570722,Right,53.25116
1736440805.8589406,Left,55.64685
1736440805.8589406,Right,54.45732
1736440805.961897,Left,55.44363
1736440805.961897,Right,54.66656
1736440806.064699,Left,56.14152
1736440806.066891,Right,54.06341
1736440806.167781,Left,57.00866
1736440806.167781,Right,52.43904
1736440806.2708986,Left,57.61841
1736440806.2708986,Right,51.88713
1736440806.3734272,Left,58.18194
1736440806.3734272,Right,51.62443
1736440806.4752407,Left,58.55911
1736440806.4752407,Right,51.32453
1736440806.5780516,Left,58.68253
1736440806.5780516,Right,51.12381
1736440806.6812012,Left,58.7346
1736440806.6812012,Right,51.21906
1736440806.7839704,Left,58.52662
1736440806.7839704,Right,51.4342
1736440806.886383,Left,58.50299
1736440806.8875906,Right,51.67998
1736440806.9886665,Left,58.22562
1736440806.9886665,Right,51.65503
1736440807.0915504,Left,57.69086
1736440807.0915504,Right,51.71995
1736440807.1937099,Left,57.30653
1736440807.1937099,Right,52.2397
1736440807.2962832,Left,57.03086
1736440807.297302,Right,52.89859
1736440807.3993523,Left,56.75609
1736440807.3993523,Right,53.13501
1736440807.5018854,Left,56.35692
1736440807.5018854,Right,53.53396
1736440807.6063292,Left,56.26533
1736440807.6063292,Right,53.83039
1736440807.709012,Left,56.16248
1736440807.709012,Right,53.93835
1736440807.8112793,Left,55.85327
1736440807.8112793,Right,54.14373
1736440807.913576,Left,55.72842
1736440807.913576,Right,54.03321
1736440808.0160449,Left,56.00371
